V1;V2;V3
0,047800701;0,000458232;0,094965611
0,142803938;0,149358767;0,074361286
0,116857577;0,036119838;0,147300735
0,189562293;0,124008302;0,163893319
0,048919771;0,035104898;0,155873823
0,155998988;0,168267493;0,135449306
0,126250258;0,010822661;0,184603659
0,011011896;0,188057417;0,190094107
0,020210836;0,155862285;0,102756007
0,141303845;0,12919085;0,08755174
0,092696777;0,023173465;0,091193345
0,196398151;0,025338369;0,095678761
0,041730995;0,137930837;0,118694227
0,020702512;0,019225945;0,104932738
0,04184642;0,17936208;0,05832166
0,020492311;0,070127117;0,011535189
0,0566452;0,068793355;0,164953986
0,001163992;0,084671374;0,032361498
0,187289768;0,024081872;0,010473076
0,070916618;0,052913197;0,17003921
0,149682906;0,076844358;0,03619356
0,043486606;0,150233996;0,066292291
0,099786503;0,106465301;0,142253512
0,198257307;0,15729189;0,146582896
0,004252328;0,022130645;0,021265918
0,046287243;0,152577685;0,05666506
0,142026031;0,034627825;0,175236734
0,109769277;0,134722259;0,081739021
0,181312296;0,029232439;0,190661075
0,170182969;0,004951671;0,047232828
0,117373517;0,169815787;0,177786019
0,094118279;0,165728006;0,135608484
0,036588792;0,141835512;0,158004412
0,138138376;0,076690877;0,033564237
0,190217921;0,035320019;0,16049969
0,14469263;0,103528266;0,00786395
0,102575429;0,071105762;0,104958215
0,14975364;0,024015778;0,021517677
0,144334376;0,049504267;0,08730414
0,042609128;0,090648578;0,060445752
0,116532535;0,174376266;0,018183553
0,048822831;0,011689514;0,066919198
0,18313728;0,115261324;0,190001035
0,078303487;0,050023766;0,096368361
0,115366057;0,101592613;0,011798356
0,187201392;0,146951563;0,14110489
0,138735762;0,082174353;0,092155802
0,142703466;0,112442527;0,004150788
0,049020354;0,193527929;0,165518582
0,141801499;0,080767668;0,064848238
0,115597212;0,063492991;0,102500607
0,111300443;0,147670077;0,016087199
0,02819544;0,106517536;0,116493159
0,195081717;0,052028917;0,18712799
0,170391011;0,022515863;0,008429294
0,177853769;0,125018875;0,074678637
0,174190016;0,023535646;0,193257188
0,111428752;0,146433908;0,100855797
0,178064167;0,106652853;0,092924835
0,132903539;0,026462195;0,166851281
0,148152598;0,003752127;0,065090129
0,13536839;0,151314286;0,065900439
0,148214304;0,165443227;0,196756488
0,082279057;0,166828099;0,068353532
0,020007036;0,092803146;0,042143408
0,119863122;0,06295806;0,16178015
0,149450391;0,18859716;0,09871868
0,051846363;0,078181906;0,156985473
0,018656853;0,086409638;0,122049906
0,082193096;0,039191524;0,183444491
0,001606129;0,0357135;0,159288792
0,037197663;0,10938713;0,068179337
0,094418152;0,188348279;0,164504201
0,135091919;0,0575405;0,100939014
0,101756489;0,091762367;0,106518289
0,078626852;0,094080546;0,044627997
0,001662363;0,148638451;0,101330402
0,122191492;0,049971525;0,179088077
0,07497383;0,034603829;0,195886448
0,110334225;0,014780627;0,012028492
0,011218612;0,032833673;0,007698528
0,006730815;0,137405607;0,119165392
0,057689941;0,147068433;0,042768997
0,199335583;0,096585131;0,114934542
0,083955398;0,132608496;0,142175686
0,154247246;0,065670851;0,138171113
0,156111189;0,040694362;0,032914491
0,09817503;0,178702457;0,034105574
0,174266229;0,072556249;0,000473424
0,036842305;0,043090724;0,106932494
0,147168746;0,15134817;0,07607715
0,195474859;0,024330542;0,00468462
0,035430019;0,193116965;0,167957176
0,096840823;0,1790626;0,032531588
0,196846259;0,069222865;0,179857705
0,030231107;0,136061828;0,077201343
0,055092089;0,096512975;0,152871598
0,014610184;0,014830182;0,023635353
0,139262511;0,032478446;0,084757998
0,176143253;0,001838949;0,143374265
0,176404722;0,106143421;0,851068256
0,069484582;0,17483364;0,89403778
0,016579047;0,007081189;0,836614801
0,142675778;0,190878839;0,863213705
0,173698955;0,018664373;0,955127498
0,085122854;0,02649552;0,920914841
0,194514812;0,095645832;0,948246497
0,016606774;0,072808239;0,878492897
0,113434295;0,038961484;0,963997324
0,080820813;0,086375153;0,966023558
0,189883962;0,04278921;0,970235929
0,027489889;0,091811443;0,899059595
0,186326439;0,062983922;0,970465125
0,191570841;0,138502916;0,943134248
0,122342581;0,182574047;0,855536571
0,080465336;0,122457754;0,909463557
0,07600612;0,08319442;0,937684818
0,036491148;0,107094999;0,929208523
0,159412699;0,037612341;0,913093748
0,172918679;0,062290826;0,841745477
0,009456432;0,06016865;0,89942127
0,066832185;0,004419699;0,92440801
0,199060266;0,034664948;0,933760032
0,153710566;0,178073718;0,971312631
0,074078136;0,199917802;0,853798358
0,140331245;0,149767919;0,963061033
0,060066783;0,094301309;0,865834048
0,151694396;0,134599621;0,957845729
0,047872331;0,183054998;0,962161612
0,003597065;0,081067607;0,940137501
0,154086;0,080779225;0,846224546
0,158680203;0,090286184;0,801828815
0,154114015;0,099283687;0,809243196
0,012311461;0,155543325;0,802153667
0,054631939;0,183277483;0,922024831
0,064415456;0,150931054;0,938035033
0,100150046;0,143914171;0,965953839
0,111264364;0,105542057;0,861931424
0,020669491;0,136702457;0,88532079
0,020597939;0,144074726;0,856031724
0,123786942;0,06434222;0,840677479
0,073904814;0,011490568;0,984961867
0,005168865;0,136316973;0,847992563
0,172635408;0,093830983;0,845126259
0,162271561;0,185570591;0,857332291
0,05414413;0,021644837;0,851715005
0,189109963;0,131521529;0,893897488
0,187810546;0,188462735;0,93635462
0,009169461;0,115569922;0,957857842
0,139165856;0,188300174;0,848019168
0,094492112;0,129728681;0,863470356
0,157627529;0,090647446;0,899213851
0,091295314;0,183060651;0,897488909
0,123228772;0,013998367;0,909941967
0,000912402;0,067156918;0,996828352
0,168593699;0,016485881;0,805869967
0,022964632;0,15496557;0,986606596
0,146949851;0,028032716;0,999919017
0,113900642;0,099275952;0,90788927
0,152003376;0,137480365;0,833867108
0,094166771;0,038057458;0,846426756
0,019790098;0,057969185;0,822719866
0,154287813;0,136946612;0,873152292
0,062229044;0,1161577;0,889929312
0,160675132;0,00077349;0,831839908
0,024475078;0,02098237;0,922559881
0,110810245;0,068477886;0,872964452
0,025877195;0,025427474;0,958873394
0,051236614;0,190515129;0,932667912
0,055481597;0,006210753;0,934403564
0,127657539;0,158295877;0,987412734
0,085711406;0,146879626;0,813696346
0,064113171;0,183314102;0,981252056
0,065388895;0,037169084;0,859814533
0,171015479;0,128312407;0,820644991
0,099426839;0,029380603;0,992987164
0,144461307;0,121654919;0,942800077
0,181239952;0,023675166;0,836128193
0,097641146;0,181672717;0,923611112
0,185411528;0,051974865;0,895535365
0,108434662;0,035852505;0,877441938
0,017598942;0,100228337;0,861422626
0,057349708;0,149791177;0,851356224
0,005028214;0,171979791;0,908505912
0,081351397;0,12637305;0,892501834
0,149182354;0,159702952;0,820006265
0,164587862;0,13142812;0,85657439
0,094475025;0,042165266;0,953417003
0,149373387;0,094512885;0,802263747
0,180532808;0,19227552;0,921856172
0,118743398;0,074839181;0,87474901
0,169863108;0,106941478;0,836727826
0,076812423;0,036118238;0,950641792
0,090478699;0,099646494;0,874362618
0,033138913;0,132962374;0,939042534
0,027596361;0,036629113;0,956579722
0,175828713;0,063709614;0,914464034
0,064891082;0,015478784;0,892133243
0,133572988;0,150948247;0,914506872
0,134626155;0,187902558;0,889762328
0,17910026;0,844791912;0,080653424
0,073572371;0,833867307;0,182835051
0,14410554;0,876548221;0,138862692
0,051910999;0,967175084;0,083608496
0,112759234;0,832080982;0,16955
0,198443459;0,972562543;0,054806355
0,060409964;0,910755339;0,171031506
0,142586653;0,848294587;0,178749598
0,157794816;0,904844114;0,143627598
0,013219508;0,809093753;0,103017175
0,041123173;0,973263245;0,058254363
0,147713051;0,878092653;0,056672689
0,077407446;0,833514853;0,028260912
0,076420157;0,996159209;0,113587656
0,179369317;0,834351727;0,055410342
0,093473512;0,943320031;0,082359987
0,147554932;0,943676271;0,006465499
0,102109258;0,802900161;0,007026036
0,181804983;0,805482671;0,126854047
0,172810719;0,81579713;0,168089976
0,197542047;0,822954618;0,016572168
0,092114471;0,948479916;0,025972707
0,183519776;0,963674613;0,159254189
0,182907294;0,839865283;0,184898428
0,083014059;0,858596177;0,011986586
0,074611565;0,82012744;0,148939709
0,182732457;0,810279036;0,011304152
0,167200464;0,979677731;0,100399531
0,192289897;0,925497423;0,132888589
0,198428101;0,968566052;0,046441773
0,055503516;0,819659177;0,01497294
0,092797712;0,857254767;0,064902565
0,085336928;0,916460793;0,08587769
0,151355951;0,927633307;0,125795657
0,089429269;0,938054907;0,00689966
0,148275069;0,882743259;0,05549269
0,18051656;0,821856393;0,066782705
0,110950621;0,870759654;0,155196469
0,053280135;0,903721396;0,188713053
0,015397048;0,827005674;0,043523392
0,079337253;0,84998859;0,044442732
0,130081473;0,829032853;0,118992941
0,157499671;0,826743636;0,173069472
0,006144542;0,98153002;0,182813106
0,049998448;0,856755937;0,029467768
0,076747279;0,876282047;0,016525021
0,015769325;0,921749114;0,068736521
0,062480526;0,891218925;0,098759938
0,191884982;0,991732187;0,012727901
0,074272952;0,986110037;0,085170886
0,012215763;0,926035253;0,01800287
0,128782652;0,877107248;0,036650168
0,051129165;0,904535054;0,150203221
