"V1" "V2" "V3"
"1" 24 0 40
"2" 24 0 48
"3" 24 8 40
"4" 24 16 40
"5" 32 0 48
"6" 32 8 40
"7" 32 8 48
"8" 32 8 56
"9" 32 8 64
"10" 32 16 40
"11" 32 16 48
"12" 32 16 56
"13" 32 24 40
"14" 32 24 48
"15" 32 24 56
"16" 32 32 40
"17" 40 8 48
"18" 40 8 56
"19" 40 16 40
"20" 40 16 48
"21" 40 16 56
"22" 40 24 48
"23" 40 24 56
"24" 40 24 64
"25" 40 32 48
"26" 40 32 56
"27" 40 32 64
"28" 40 40 48
"29" 40 40 56
"30" 40 40 64
"31" 48 0 56
"32" 48 8 48
"33" 48 8 56
"34" 48 16 40
"35" 48 16 48
"36" 48 16 56
"37" 48 16 64
"38" 48 24 48
"39" 48 24 56
"40" 48 24 64
"41" 48 24 72
"42" 48 32 56
"43" 48 32 64
"44" 48 32 72
"45" 48 40 48
"46" 48 40 56
"47" 48 40 64
"48" 48 40 72
"49" 48 48 64
"50" 48 56 56
"51" 48 64 48
"52" 48 64 64
"53" 56 16 48
"54" 56 16 56
"55" 56 16 64
"56" 56 16 72
"57" 56 24 48
"58" 56 24 56
"59" 56 24 64
"60" 56 24 72
"61" 56 24 80
"62" 56 32 48
"63" 56 32 56
"64" 56 32 64
"65" 56 32 72
"66" 56 32 80
"67" 56 40 48
"68" 56 40 56
"69" 56 40 64
"70" 56 40 80
"71" 56 48 48
"72" 56 48 56
"73" 56 48 64
"74" 56 48 72
"75" 56 56 48
"76" 56 56 56
"77" 56 56 64
"78" 56 56 80
"79" 56 64 48
"80" 56 64 56
"81" 56 64 64
"82" 56 72 56
"83" 64 16 40
"84" 64 16 56
"85" 64 16 64
"86" 64 24 48
"87" 64 24 56
"88" 64 24 64
"89" 64 24 72
"90" 64 24 80
"91" 64 32 48
"92" 64 32 56
"93" 64 32 64
"94" 64 32 72
"95" 64 32 80
"96" 64 32 88
"97" 64 40 48
"98" 64 40 56
"99" 64 40 64
"100" 64 40 72
"101" 64 40 80
"102" 64 48 56
"103" 64 48 64
"104" 64 48 72
"105" 64 48 88
"106" 64 56 48
"107" 64 56 56
"108" 64 56 64
"109" 64 56 72
"110" 64 56 80
"111" 64 56 88
"112" 64 56 96
"113" 64 64 56
"114" 64 64 64
"115" 64 64 80
"116" 64 72 56
"117" 64 72 64
"118" 64 80 56
"119" 64 80 72
"120" 64 80 88
"121" 64 88 64
"122" 72 24 48
"123" 72 24 56
"124" 72 24 64
"125" 72 24 72
"126" 72 24 80
"127" 72 32 48
"128" 72 32 56
"129" 72 32 64
"130" 72 32 72
"131" 72 32 80
"132" 72 40 48
"133" 72 40 56
"134" 72 40 64
"135" 72 40 72
"136" 72 40 80
"137" 72 48 56
"138" 72 48 64
"139" 72 48 72
"140" 72 48 80
"141" 72 48 88
"142" 72 48 96
"143" 72 56 56
"144" 72 56 64
"145" 72 56 72
"146" 72 56 80
"147" 72 56 96
"148" 72 64 56
"149" 72 64 64
"150" 72 64 72
"151" 72 64 80
"152" 72 72 48
"153" 72 72 56
"154" 72 72 64
"155" 72 72 72
"156" 72 72 96
"157" 72 80 56
"158" 72 80 64
"159" 72 80 72
"160" 72 88 64
"161" 72 88 72
"162" 72 96 56
"163" 72 96 72
"164" 72 96 96
"165" 72 104 72
"166" 80 24 56
"167" 80 24 64
"168" 80 24 72
"169" 80 32 48
"170" 80 32 56
"171" 80 32 64
"172" 80 32 72
"173" 80 32 80
"174" 80 40 48
"175" 80 40 56
"176" 80 40 64
"177" 80 40 72
"178" 80 40 80
"179" 80 48 56
"180" 80 48 64
"181" 80 48 72
"182" 80 48 80
"183" 80 48 88
"184" 80 56 48
"185" 80 56 56
"186" 80 56 64
"187" 80 56 72
"188" 80 56 80
"189" 80 56 88
"190" 80 56 96
"191" 80 64 48
"192" 80 64 56
"193" 80 64 64
"194" 80 64 72
"195" 80 64 80
"196" 80 64 88
"197" 80 64 96
"198" 80 64 104
"199" 80 72 48
"200" 80 72 56
"201" 80 72 64
"202" 80 72 72
"203" 80 72 80
"204" 80 72 88
"205" 80 72 96
"206" 80 72 104
"207" 80 72 112
"208" 80 80 56
"209" 80 80 64
"210" 80 80 72
"211" 80 80 80
"212" 80 80 88
"213" 80 80 96
"214" 80 88 56
"215" 80 88 64
"216" 80 88 80
"217" 80 88 88
"218" 80 88 96
"219" 80 88 104
"220" 80 88 112
"221" 80 88 120
"222" 80 96 64
"223" 80 96 72
"224" 80 96 80
"225" 80 96 88
"226" 80 96 120
"227" 80 104 64
"228" 80 104 72
"229" 80 104 120
"230" 80 104 144
"231" 80 104 152
"232" 80 112 80
"233" 80 112 136
"234" 80 112 144
"235" 80 120 152
"236" 80 176 120
"237" 88 32 56
"238" 88 32 64
"239" 88 32 72
"240" 88 40 56
"241" 88 40 64
"242" 88 40 72
"243" 88 40 80
"244" 88 48 56
"245" 88 48 64
"246" 88 48 72
"247" 88 48 80
"248" 88 48 88
"249" 88 48 96
"250" 88 56 56
"251" 88 56 64
"252" 88 56 72
"253" 88 56 80
"254" 88 56 88
"255" 88 56 96
"256" 88 64 48
"257" 88 64 56
"258" 88 64 64
"259" 88 64 72
"260" 88 64 80
"261" 88 64 88
"262" 88 64 96
"263" 88 64 104
"264" 88 64 112
"265" 88 64 120
"266" 88 72 56
"267" 88 72 64
"268" 88 72 72
"269" 88 72 80
"270" 88 72 88
"271" 88 72 96
"272" 88 72 104
"273" 88 72 112
"274" 88 72 120
"275" 88 80 56
"276" 88 80 64
"277" 88 80 72
"278" 88 80 80
"279" 88 80 88
"280" 88 80 96
"281" 88 80 104
"282" 88 80 112
"283" 88 80 120
"284" 88 88 56
"285" 88 88 64
"286" 88 88 72
"287" 88 88 80
"288" 88 88 88
"289" 88 88 96
"290" 88 88 104
"291" 88 88 112
"292" 88 88 120
"293" 88 96 56
"294" 88 96 64
"295" 88 96 72
"296" 88 96 80
"297" 88 96 88
"298" 88 96 104
"299" 88 96 120
"300" 88 96 136
"301" 88 104 64
"302" 88 104 72
"303" 88 104 80
"304" 88 104 88
"305" 88 104 96
"306" 88 104 112
"307" 88 104 120
"308" 88 104 128
"309" 88 104 136
"310" 88 104 144
"311" 88 112 72
"312" 88 112 80
"313" 88 112 120
"314" 88 112 128
"315" 88 112 136
"316" 88 112 144
"317" 88 112 152
"318" 88 112 160
"319" 88 120 136
"320" 88 120 144
"321" 88 120 152
"322" 88 120 160
"323" 88 120 168
"324" 88 128 152
"325" 88 128 160
"326" 88 128 168
"327" 88 136 168
"328" 88 176 136
"329" 96 40 56
"330" 96 40 64
"331" 96 40 72
"332" 96 40 80
"333" 96 48 56
"334" 96 48 64
"335" 96 48 72
"336" 96 48 80
"337" 96 48 88
"338" 96 56 56
"339" 96 56 64
"340" 96 56 72
"341" 96 56 80
"342" 96 56 88
"343" 96 56 96
"344" 96 64 56
"345" 96 64 64
"346" 96 64 72
"347" 96 64 80
"348" 96 64 88
"349" 96 64 96
"350" 96 72 56
"351" 96 72 64
"352" 96 72 72
"353" 96 72 80
"354" 96 72 88
"355" 96 72 96
"356" 96 72 104
"357" 96 72 112
"358" 96 72 120
"359" 96 80 64
"360" 96 80 72
"361" 96 80 80
"362" 96 80 88
"363" 96 80 96
"364" 96 80 104
"365" 96 80 112
"366" 96 80 120
"367" 96 80 128
"368" 96 88 56
"369" 96 88 64
"370" 96 88 72
"371" 96 88 80
"372" 96 88 88
"373" 96 88 96
"374" 96 88 104
"375" 96 88 112
"376" 96 88 120
"377" 96 96 64
"378" 96 96 72
"379" 96 96 80
"380" 96 96 88
"381" 96 96 96
"382" 96 96 104
"383" 96 96 112
"384" 96 96 120
"385" 96 104 64
"386" 96 104 80
"387" 96 104 88
"388" 96 104 96
"389" 96 104 104
"390" 96 104 112
"391" 96 104 120
"392" 96 104 128
"393" 96 104 136
"394" 96 112 56
"395" 96 112 72
"396" 96 112 96
"397" 96 112 104
"398" 96 112 112
"399" 96 112 120
"400" 96 112 128
"401" 96 112 136
"402" 96 112 144
"403" 96 112 152
"404" 96 120 72
"405" 96 120 80
"406" 96 120 88
"407" 96 120 96
"408" 96 120 128
"409" 96 120 136
"410" 96 120 144
"411" 96 120 152
"412" 96 120 160
"413" 96 120 168
"414" 96 128 72
"415" 96 128 88
"416" 96 128 104
"417" 96 128 144
"418" 96 128 152
"419" 96 128 160
"420" 96 128 168
"421" 96 136 88
"422" 96 136 96
"423" 96 136 104
"424" 96 136 160
"425" 96 136 168
"426" 96 136 176
"427" 96 144 88
"428" 96 144 160
"429" 96 144 168
"430" 96 144 176
"431" 96 184 136
"432" 104 40 64
"433" 104 48 56
"434" 104 48 64
"435" 104 48 72
"436" 104 48 80
"437" 104 48 88
"438" 104 56 56
"439" 104 56 64
"440" 104 56 72
"441" 104 56 80
"442" 104 56 88
"443" 104 56 96
"444" 104 64 56
"445" 104 64 64
"446" 104 64 72
"447" 104 64 80
"448" 104 64 88
"449" 104 64 96
"450" 104 72 56
"451" 104 72 64
"452" 104 72 72
"453" 104 72 80
"454" 104 72 88
"455" 104 72 96
"456" 104 72 104
"457" 104 72 112
"458" 104 80 64
"459" 104 80 72
"460" 104 80 80
"461" 104 80 88
"462" 104 80 96
"463" 104 80 104
"464" 104 80 112
"465" 104 80 128
"466" 104 80 136
"467" 104 88 64
"468" 104 88 72
"469" 104 88 80
"470" 104 88 88
"471" 104 88 96
"472" 104 88 104
"473" 104 88 112
"474" 104 88 120
"475" 104 88 128
"476" 104 88 136
"477" 104 96 64
"478" 104 96 72
"479" 104 96 80
"480" 104 96 88
"481" 104 96 96
"482" 104 96 104
"483" 104 96 112
"484" 104 96 120
"485" 104 96 128
"486" 104 96 136
"487" 104 104 72
"488" 104 104 80
"489" 104 104 88
"490" 104 104 96
"491" 104 104 104
"492" 104 104 112
"493" 104 104 120
"494" 104 112 80
"495" 104 112 88
"496" 104 112 96
"497" 104 112 104
"498" 104 112 112
"499" 104 112 120
"500" 104 112 128
"501" 104 112 136
"502" 104 112 144
"503" 104 120 72
"504" 104 120 80
"505" 104 120 88
"506" 104 120 96
"507" 104 120 104
"508" 104 120 112
"509" 104 120 120
"510" 104 120 128
"511" 104 120 136
"512" 104 120 144
"513" 104 120 152
"514" 104 120 160
"515" 104 128 72
"516" 104 128 80
